order_id,customer_id,order_date,product,quantity,discount_pct,revenue,is_first_order
ORD000034,CUST00021,2024-12-19,Eye Cream,1,0,26.0,True
ORD000035,CUST00022,2024-04-28,Niacinamide Serum,1,0,19.0,True
ORD000036,CUST00022,2024-09-26,Eye Cream,1,20,20.8,False
ORD000037,CUST00023,2024-07-22,Face Mask Set,1,15,17.0,True
ORD000038,CUST00024,2024-09-09,Hydrating Moisturizer,1,20,22.4,True
ORD000039,CUST00024,2024-10-16,Retinol Night Cream,1,15,27.2,False
ORD000040,CUST00024,2024-11-20,Vitamin C Serum,1,0,22.0,False
ORD000041,CUST00024,2024-12-27,SPF 50 Sunscreen,1,0,24.0,False
ORD000042,CUST00025,2024-11-01,Retinol Night Cream,1,0,32.0,True
ORD000043,CUST00026,2025-04-02,Face Mask Set,2,10,36.0,True
ORD000044,CUST00027,2024-06-02,Face Mask Set,2,10,36.0,True
ORD000045,CUST00027,2024-07-09,Niacinamide Serum,1,10,17.1,False
ORD000046,CUST00028,2024-11-17,Niacinamide Serum,1,20,15.2,True
ORD000047,CUST00029,2024-12-12,Niacinamide Serum,1,15,16.15,True
ORD000048,CUST00029,2025-01-03,Gentle Cleanser,2,15,27.2,False
ORD000049,CUST00029,2025-01-17,Hydrating Moisturizer,2,0,56.0,False
ORD000050,CUST00030,2024-03-03,SPF 50 Sunscreen,1,0,24.0,True
ORD000051,CUST00030,2024-03-23,Hydrating Moisturizer,1,0,28.0,False
ORD000052,CUST00032,2024-05-14,Retinol Night Cream,1,15,27.2,True
ORD000053,CUST00033,2024-03-11,Hydrating Moisturizer,2,0,56.0,True
ORD000054,CUST00033,2024-04-01,Vitamin C Serum,1,0,22.0,False
ORD000055,CUST00033,2024-05-14,Retinol Night Cream,1,0,32.0,False
ORD000056,CUST00034,2025-07-02,Hydrating Moisturizer,1,0,28.0,True
ORD000057,CUST00035,2025-07-10,Hydrating Moisturizer,2,0,56.0,True
ORD000058,CUST00036,2025-04-16,Retinol Night Cream,1,0,32.0,True
ORD000059,CUST00037,2024-07-29,Gentle Cleanser,1,15,13.6,True
ORD000060,CUST00037,2024-08-14,Face Mask Set,1,25,15.0,False
ORD000061,CUST00038,2024-03-31,Eye Cream,2,0,52.0,True
ORD000062,CUST00039,2025-01-30,Niacinamide Serum,2,0,38.0,True
ORD000063,CUST00040,2024-10-24,Vitamin C Serum,1,25,16.5,True
ORD000064,CUST00041,2024-04-18,Vitamin C Serum,1,20,17.6,True
ORD000065,CUST00042,2024-11-11,Eye Cream,1,0,26.0,True
ORD000066,CUST00042,2024-12-10,SPF 50 Sunscreen,1,0,24.0,False
ORD000067,CUST00043,2024-02-24,Hydrating Moisturizer,2,10,50.4,True
ORD000068,CUST00044,2025-06-13,Hydrating Moisturizer,1,0,28.0,True
ORD000069,CUST00045,2024-06-30,Eye Cream,1,20,20.8,True
ORD000070,CUST00046,2025-01-15,Eye Cream,1,0,26.0,True
ORD000071,CUST00048,2024-11-19,SPF 50 Sunscreen,1,10,21.6,True
ORD000072,CUST00048,2025-03-13,Gentle Cleanser,1,15,13.6,False
ORD000073,CUST00048,2025-04-05,Hydrating Moisturizer,2,10,50.4,False
ORD000074,CUST00048,2025-06-14,Eye Cream,1,10,23.4,False
ORD000075,CUST00049,2024-11-27,Niacinamide Serum,1,25,14.25,True
ORD000076,CUST00049,2024-12-11,Niacinamide Serum,1,25,14.25,False
ORD000077,CUST00050,2024-05-24,Face Mask Set,2,0,40.0,True
ORD000078,CUST00050,2024-06-07,Eye Cream,2,0,52.0,False
ORD000079,CUST00051,2025-07-15,Retinol Night Cream,2,0,64.0,True
ORD000080,CUST00052,2025-03-27,Vitamin C Serum,1,0,22.0,True
ORD000081,CUST00053,2025-06-28,Hydrating Moisturizer,1,0,28.0,True
ORD000082,CUST00054,2025-06-06,Gentle Cleanser,1,10,14.4,True
ORD000083,CUST00056,2025-06-17,Face Mask Set,1,0,20.0,True
ORD000084,CUST00057,2024-03-27,SPF 50 Sunscreen,1,10,21.6,True
ORD000085,CUST00058,2024-06-02,Gentle Cleanser,2,15,27.2,True
ORD000086,CUST00059,2024-03-02,Eye Cream,1,0,26.0,True
ORD000087,CUST00059,2024-03-16,Hydrating Moisturizer,1,0,28.0,False
ORD000088,CUST00060,2024-08-09,Niacinamide Serum,2,15,32.3,True
ORD000089,CUST00060,2024-11-06,Vitamin C Serum,1,0,22.0,False
ORD000090,CUST00061,2024-09-21,Niacinamide Serum,1,15,16.15,True
ORD000091,CUST00062,2024-07-06,SPF 50 Sunscreen,1,0,24.0,True
ORD000092,CUST00063,2025-04-28,Vitamin C Serum,1,0,22.0,True
ORD000093,CUST00064,2024-09-04,Gentle Cleanser,2,20,25.6,True
ORD000094,CUST00065,2024-07-14,SPF 50 Sunscreen,2,0,48.0,True
ORD000095,CUST00066,2024-11-24,SPF 50 Sunscreen,1,20,19.2,True
ORD000096,CUST00066,2025-01-05,Gentle Cleanser,1,0,16.0,False
ORD000097,CUST00067,2024-04-27,Hydrating Moisturizer,1,0,28.0,True
ORD000098,CUST00067,2024-05-11,Retinol Night Cream,2,0,64.0,False
ORD000099,CUST00068,2025-04-10,Niacinamide Serum,2,10,34.2,True
ORD000100,CUST00069,2024-03-20,Gentle Cleanser,1,0,16.0,True
ORD000101,CUST00069,2024-06-17,Retinol Night Cream,1,25,24.0,False
ORD000102,CUST00070,2025-07-23,SPF 50 Sunscreen,1,0,24.0,True
ORD000103,CUST00071,2025-03-26,Gentle Cleanser,2,0,32.0,True
ORD000104,CUST00072,2024-06-04,Retinol Night Cream,1,0,32.0,True
ORD000105,CUST00073,2024-02-05,Vitamin C Serum,1,0,22.0,True
ORD000106,CUST00074,2025-04-19,Face Mask Set,1,0,20.0,True
ORD000107,CUST00075,2025-02-11,Hydrating Moisturizer,1,25,21.0,True
ORD000108,CUST00076,2025-02-27,Face Mask Set,2,0,40.0,True
ORD000109,CUST00076,2025-04-15,Vitamin C Serum,2,15,37.4,False
ORD000110,CUST00076,2025-05-27,Niacinamide Serum,1,0,19.0,False
ORD000111,CUST00076,2025-06-10,Retinol Night Cream,1,0,32.0,False
ORD000112,CUST00077,2025-03-23,Vitamin C Serum,1,0,22.0,True
ORD000113,CUST00078,2024-03-18,Hydrating Moisturizer,1,0,28.0,True
ORD000114,CUST00078,2024-04-01,Retinol Night Cream,1,0,32.0,False
ORD000115,CUST00078,2024-07-09,Retinol Night Cream,1,0,32.0,False
ORD000116,CUST00078,2024-07-23,Vitamin C Serum,1,0,22.0,False
ORD000117,CUST00079,2024-09-04,Face Mask Set,1,0,20.0,True
ORD000118,CUST00079,2024-09-29,Hydrating Moisturizer,1,0,28.0,False
ORD000119,CUST00080,2024-04-11,Eye Cream,3,20,62.4,True
ORD000120,CUST00081,2025-05-20,Hydrating Moisturizer,2,0,56.0,True
ORD000121,CUST00082,2024-12-24,Gentle Cleanser,3,0,48.0,True
ORD000122,CUST00083,2024-08-14,Hydrating Moisturizer,1,25,21.0,True
ORD000123,CUST00083,2024-08-28,Gentle Cleanser,1,15,13.6,False
ORD000124,CUST00083,2024-12-05,Vitamin C Serum,1,25,16.5,False
ORD000125,CUST00084,2024-03-13,Eye Cream,1,0,26.0,True
ORD000126,CUST00084,2024-04-27,Gentle Cleanser,1,0,16.0,False
ORD000127,CUST00085,2024-08-01,SPF 50 Sunscreen,1,15,20.4,True
ORD000128,CUST00085,2024-09-19,Retinol Night Cream,1,0,32.0,False
ORD000129,CUST00085,2024-10-03,Niacinamide Serum,1,15,16.15,False
ORD000130,CUST00086,2024-08-10,SPF 50 Sunscreen,3,0,72.0,True
ORD000131,CUST00086,2024-11-07,Face Mask Set,1,0,20.0,False
ORD000132,CUST00086,2025-01-31,Eye Cream,1,0,26.0,False
ORD000133,CUST00087,2025-02-28,Gentle Cleanser,2,15,27.2,True
ORD000134,CUST00088,2024-12-29,Niacinamide Serum,1,25,14.25,True
ORD000135,CUST00088,2025-03-04,Retinol Night Cream,1,0,32.0,False
ORD000136,CUST00089,2025-06-03,Gentle Cleanser,1,0,16.0,True
ORD000137,CUST00091,2024-04-13,Eye Cream,1,0,26.0,True
ORD000138,CUST00091,2024-07-23,Hydrating Moisturizer,2,0,56.0,False
ORD000139,CUST00091,2024-08-06,Gentle Cleanser,1,0,16.0,False
ORD000140,CUST00092,2025-02-16,Gentle Cleanser,1,0,16.0,True
ORD000141,CUST00092,2025-03-16,Face Mask Set,1,20,16.0,False
ORD000142,CUST00093,2025-03-19,Eye Cream,1,25,19.5,True
ORD000143,CUST00094,2024-12-01,Vitamin C Serum,2,0,44.0,True
ORD000144,CUST00094,2024-12-23,Eye Cream,1,20,20.8,False
ORD000145,CUST00094,2025-01-20,Face Mask Set,3,15,51.0,False
ORD000146,CUST00094,2025-02-03,Retinol Night Cream,2,0,64.0,False
ORD000147,CUST00096,2024-11-13,Eye Cream,1,0,26.0,True
ORD000148,CUST00096,2024-12-11,Gentle Cleanser,1,0,16.0,False
ORD000149,CUST00097,2024-11-19,Eye Cream,1,15,22.1,True
ORD000150,CUST00098,2024-10-15,Gentle Cleanser,1,0,16.0,True
ORD000151,CUST00099,2024-02-18,Retinol Night Cream,1,0,32.0,True
ORD000152,CUST00099,2024-03-14,Gentle Cleanser,2,15,27.2,False
ORD000153,CUST00100,2024-04-08,Retinol Night Cream,3,0,96.0,True
ORD000154,CUST00100,2024-07-05,Eye Cream,1,0,26.0,False
ORD000155,CUST00101,2024-02-21,Face Mask Set,1,0,20.0,True
ORD000156,CUST00102,2024-12-30,SPF 50 Sunscreen,1,0,24.0,True
ORD000157,CUST00102,2025-01-13,Face Mask Set,1,25,15.0,False
ORD000158,CUST00103,2024-08-03,Hydrating Moisturizer,1,0,28.0,True
ORD000159,CUST00104,2024-11-17,Eye Cream,2,0,52.0,True
ORD000160,CUST00105,2025-06-11,Gentle Cleanser,1,10,14.4,True
ORD000161,CUST00106,2024-06-24,Niacinamide Serum,1,0,19.0,True
ORD000162,CUST00107,2024-10-03,SPF 50 Sunscreen,1,20,19.2,True
ORD000163,CUST00108,2025-03-16,Eye Cream,2,15,44.2,True
ORD000164,CUST00108,2025-04-29,Eye Cream,1,15,22.1,False
ORD000165,CUST00109,2024-06-16,SPF 50 Sunscreen,1,25,18.0,True
ORD000166,CUST00109,2024-09-25,SPF 50 Sunscreen,1,15,20.4,False
ORD000167,CUST00110,2024-03-20,Eye Cream,1,0,26.0,True
ORD000168,CUST00111,2024-07-17,SPF 50 Sunscreen,2,0,48.0,True
ORD000169,CUST00112,2024-05-11,Niacinamide Serum,2,0,38.0,True
ORD000170,CUST00112,2024-09-26,Eye Cream,1,0,26.0,False
ORD000171,CUST00113,2025-06-21,Face Mask Set,2,0,40.0,True
ORD000172,CUST00114,2025-04-16,Retinol Night Cream,2,0,64.0,True
ORD000173,CUST00115,2024-12-28,Face Mask Set,2,0,40.0,True
ORD000174,CUST00115,2025-03-25,Vitamin C Serum,3,0,66.0,False
ORD000175,CUST00115,2025-06-03,Face Mask Set,1,0,20.0,False
ORD000176,CUST00115,2025-06-17,Face Mask Set,1,0,20.0,False
ORD000177,CUST00116,2025-05-25,Gentle Cleanser,1,0,16.0,True
ORD000178,CUST00117,2025-04-13,SPF 50 Sunscreen,2,10,43.2,True
ORD000179,CUST00117,2025-05-11,Vitamin C Serum,1,20,17.6,False
ORD000180,CUST00117,2025-06-23,Vitamin C Serum,2,0,44.0,False
ORD000181,CUST00118,2024-05-25,Gentle Cleanser,2,0,32.0,True
ORD000182,CUST00118,2024-09-06,SPF 50 Sunscreen,1,15,20.4,False
ORD000183,CUST00118,2024-09-20,Niacinamide Serum,3,0,57.0,False
ORD000184,CUST00118,2025-04-10,Vitamin C Serum,1,0,22.0,False
ORD000185,CUST00118,2025-07-20,Vitamin C Serum,2,25,33.0,False
ORD000186,CUST00119,2025-06-03,SPF 50 Sunscreen,2,0,48.0,True
ORD000187,CUST00119,2025-06-17,Gentle Cleanser,2,25,24.0,False
ORD000188,CUST00120,2024-11-23,SPF 50 Sunscreen,2,20,38.4,True
ORD000189,CUST00120,2025-04-16,Eye Cream,1,20,20.8,False
ORD000190,CUST00120,2025-04-30,Face Mask Set,1,0,20.0,False
ORD000191,CUST00121,2025-04-16,Vitamin C Serum,1,0,22.0,True
ORD000192,CUST00122,2025-06-08,Eye Cream,1,10,23.4,True
ORD000193,CUST00123,2024-08-05,Gentle Cleanser,3,0,48.0,True
ORD000194,CUST00124,2024-04-08,Niacinamide Serum,1,0,19.0,True
ORD000195,CUST00124,2024-05-23,Vitamin C Serum,1,0,22.0,False
ORD000196,CUST00124,2024-08-09,SPF 50 Sunscreen,1,0,24.0,False
ORD000197,CUST00124,2024-10-16,Niacinamide Serum,1,10,17.1,False
ORD000198,CUST00124,2024-10-30,SPF 50 Sunscreen,2,0,48.0,False
ORD000199,CUST00125,2024-06-16,Face Mask Set,2,10,36.0,True
ORD000200,CUST00126,2024-10-15,Retinol Night Cream,2,20,51.2,True
ORD000201,CUST00126,2025-04-19,Retinol Night Cream,1,15,27.2,False
ORD000202,CUST00127,2025-04-21,Face Mask Set,1,0,20.0,True
ORD000203,CUST00129,2024-02-08,Face Mask Set,1,10,18.0,True
ORD000204,CUST00129,2024-07-23,SPF 50 Sunscreen,3,15,61.2,False
ORD000205,CUST00130,2024-11-17,SPF 50 Sunscreen,1,0,24.0,True
ORD000206,CUST00131,2024-10-09,Gentle Cleanser,1,0,16.0,True
ORD000207,CUST00131,2024-12-18,Face Mask Set,1,0,20.0,False
ORD000208,CUST00131,2025-01-07,Vitamin C Serum,2,0,44.0,False
ORD000209,CUST00131,2025-04-01,Hydrating Moisturizer,3,0,84.0,False
ORD000210,CUST00132,2024-06-15,Hydrating Moisturizer,1,15,23.8,True
ORD000211,CUST00132,2024-09-05,SPF 50 Sunscreen,1,0,24.0,False
ORD000212,CUST00133,2024-04-15,Hydrating Moisturizer,1,0,28.0,True
ORD000213,CUST00134,2024-08-18,Hydrating Moisturizer,2,0,56.0,True
ORD000214,CUST00135,2025-06-28,Niacinamide Serum,1,20,15.2,True
ORD000215,CUST00136,2024-08-08,Vitamin C Serum,2,0,44.0,True
ORD000216,CUST00137,2024-11-18,Niacinamide Serum,1,10,17.1,True
ORD000217,CUST00139,2024-09-08,Gentle Cleanser,1,0,16.0,True
ORD000218,CUST00139,2024-11-08,Hydrating Moisturizer,1,10,25.2,False
ORD000219,CUST00139,2024-11-25,Retinol Night Cream,1,10,28.8,False
ORD000220,CUST00140,2025-07-13,Eye Cream,1,20,20.8,True
ORD000221,CUST00141,2025-07-11,Eye Cream,1,0,26.0,True
ORD000222,CUST00142,2024-06-27,Niacinamide Serum,1,25,14.25,True
ORD000223,CUST00142,2024-08-23,Retinol Night Cream,1,20,25.6,False
ORD000224,CUST00143,2024-11-12,Eye Cream,3,10,70.2,True
ORD000225,CUST00143,2024-12-21,Vitamin C Serum,1,0,22.0,False
ORD000226,CUST00144,2024-07-25,Hydrating Moisturizer,1,15,23.8,True
ORD000227,CUST00144,2024-08-08,Niacinamide Serum,2,0,38.0,False
ORD000228,CUST00144,2025-01-20,Face Mask Set,1,0,20.0,False
ORD000229,CUST00145,2024-07-17,Eye Cream,3,15,66.3,True
ORD000230,CUST00146,2024-02-26,Hydrating Moisturizer,2,15,47.6,True
ORD000231,CUST00147,2024-12-19,Face Mask Set,1,15,17.0,True
ORD000232,CUST00147,2025-02-26,Vitamin C Serum,1,0,22.0,False
ORD000233,CUST00148,2024-11-15,Face Mask Set,2,15,34.0,True
ORD000234,CUST00149,2024-03-03,Retinol Night Cream,1,0,32.0,True
ORD000235,CUST00149,2024-05-17,Vitamin C Serum,1,0,22.0,False
ORD000236,CUST00150,2024-07-10,Niacinamide Serum,3,0,57.0,True
ORD000237,CUST00151,2025-06-14,Niacinamide Serum,2,0,38.0,True
ORD000238,CUST00151,2025-07-02,Retinol Night Cream,1,0,32.0,False
ORD000239,CUST00152,2024-06-23,Eye Cream,2,0,52.0,True
ORD000240,CUST00152,2024-08-19,Gentle Cleanser,1,0,16.0,False
ORD000241,CUST00153,2024-04-29,Gentle Cleanser,1,0,16.0,True
ORD000242,CUST00154,2024-11-10,Gentle Cleanser,1,25,12.0,True
ORD000243,CUST00154,2025-06-13,Face Mask Set,2,25,30.0,False
ORD000244,CUST00155,2025-07-23,Hydrating Moisturizer,1,0,28.0,True
ORD000245,CUST00156,2024-06-22,Niacinamide Serum,2,10,34.2,True
ORD000246,CUST00158,2025-03-17,Vitamin C Serum,3,0,66.0,True
ORD000247,CUST00159,2024-06-22,Hydrating Moisturizer,2,0,56.0,True
ORD000248,CUST00160,2025-02-24,Hydrating Moisturizer,2,0,56.0,True
ORD000249,CUST00161,2024-09-09,Niacinamide Serum,3,0,57.0,True
ORD000250,CUST00162,2024-12-26,Vitamin C Serum,3,25,49.5,True
ORD000251,CUST00162,2025-02-25,Niacinamide Serum,1,0,19.0,False
ORD000252,CUST00163,2024-12-30,Vitamin C Serum,2,15,37.4,True
ORD000253,CUST00164,2024-11-25,Retinol Night Cream,2,0,64.0,True
ORD000254,CUST00164,2024-12-29,Eye Cream,2,0,52.0,False
ORD000255,CUST00165,2024-03-29,Niacinamide Serum,1,15,16.15,True
ORD000256,CUST00166,2025-05-01,Niacinamide Serum,2,0,38.0,True
ORD000257,CUST00167,2024-08-06,Niacinamide Serum,1,0,19.0,True
ORD000258,CUST00168,2024-05-26,Retinol Night Cream,2,0,64.0,True
ORD000259,CUST00169,2024-02-28,Vitamin C Serum,1,0,22.0,True
ORD000260,CUST00170,2024-12-11,Gentle Cleanser,2,0,32.0,True
ORD000261,CUST00170,2025-04-23,Niacinamide Serum,1,0,19.0,False
ORD000262,CUST00170,2025-05-07,SPF 50 Sunscreen,1,0,24.0,False
ORD000263,CUST00170,2025-05-21,Gentle Cleanser,2,0,32.0,False
ORD000264,CUST00171,2025-01-24,Face Mask Set,1,0,20.0,True
ORD000265,CUST00173,2024-11-16,Retinol Night Cream,3,15,81.6,True
ORD000266,CUST00174,2024-06-16,Hydrating Moisturizer,2,0,56.0,True
ORD000267,CUST00175,2025-01-02,Gentle Cleanser,2,20,25.6,True
ORD000268,CUST00175,2025-02-12,Eye Cream,1,25,19.5,False
ORD000269,CUST00176,2024-05-20,Vitamin C Serum,1,15,18.7,True
ORD000270,CUST00176,2024-06-22,Vitamin C Serum,2,15,37.4,False
ORD000271,CUST00177,2025-02-01,Gentle Cleanser,1,0,16.0,True
ORD000272,CUST00178,2024-09-21,SPF 50 Sunscreen,1,0,24.0,True
ORD000273,CUST00178,2024-10-09,Niacinamide Serum,1,10,17.1,False
ORD000274,CUST00179,2025-06-26,Eye Cream,2,10,46.8,True
ORD000275,CUST00180,2024-04-24,SPF 50 Sunscreen,3,0,72.0,True
ORD000276,CUST00180,2024-07-09,Hydrating Moisturizer,2,15,47.6,False
ORD000277,CUST00181,2024-08-21,Eye Cream,1,0,26.0,True
ORD000278,CUST00182,2024-04-12,Gentle Cleanser,1,25,12.0,True
ORD000279,CUST00182,2024-05-03,Vitamin C Serum,1,0,22.0,False
ORD000280,CUST00182,2024-06-03,Retinol Night Cream,3,0,96.0,False
ORD000281,CUST00183,2025-06-19,Face Mask Set,1,0,20.0,True
ORD000282,CUST00184,2025-05-29,Retinol Night Cream,1,15,27.2,True
ORD000283,CUST00185,2024-06-30,Niacinamide Serum,2,0,38.0,True
ORD000284,CUST00186,2025-01-10,Gentle Cleanser,3,0,48.0,True
ORD000285,CUST00187,2025-04-20,SPF 50 Sunscreen,2,0,48.0,True
ORD000286,CUST00188,2024-11-30,Hydrating Moisturizer,3,0,84.0,True
ORD000287,CUST00189,2024-11-22,Gentle Cleanser,1,0,16.0,True
ORD000288,CUST00190,2024-06-24,Vitamin C Serum,2,0,44.0,True
ORD000289,CUST00190,2024-08-02,Hydrating Moisturizer,2,0,56.0,False
ORD000290,CUST00191,2024-03-28,Hydrating Moisturizer,1,0,28.0,True
ORD000291,CUST00192,2025-06-07,Niacinamide Serum,1,0,19.0,True
ORD000292,CUST00193,2025-06-09,Niacinamide Serum,1,0,19.0,True
ORD000293,CUST00194,2024-12-28,Face Mask Set,1,20,16.0,True
ORD000294,CUST00195,2024-08-21,Vitamin C Serum,1,0,22.0,True
ORD000295,CUST00196,2024-08-28,SPF 50 Sunscreen,1,0,24.0,True
ORD000296,CUST00198,2025-06-08,Face Mask Set,1,0,20.0,True
ORD000297,CUST00199,2025-06-02,Niacinamide Serum,2,0,38.0,True
ORD000298,CUST00200,2025-03-27,SPF 50 Sunscreen,1,15,20.4,True
ORD000299,CUST00201,2025-01-02,Face Mask Set,1,10,18.0,True
ORD000300,CUST00202,2024-03-25,Face Mask Set,1,20,16.0,True
ORD000301,CUST00203,2024-05-11,Retinol Night Cream,2,0,64.0,True
ORD000302,CUST00203,2024-05-25,Niacinamide Serum,1,20,15.2,False
ORD000303,CUST00203,2024-11-03,Eye Cream,1,20,20.8,False
ORD000304,CUST00204,2025-06-09,Retinol Night Cream,1,20,25.6,True
ORD000305,CUST00205,2024-12-18,Gentle Cleanser,3,0,48.0,True
ORD000306,CUST00205,2025-02-26,Vitamin C Serum,2,0,44.0,False
ORD000307,CUST00206,2024-02-08,Face Mask Set,1,0,20.0,True
ORD000308,CUST00206,2024-03-18,Eye Cream,1,20,20.8,False
ORD000309,CUST00207,2024-04-02,Eye Cream,1,20,20.8,True
ORD000310,CUST00208,2025-01-15,Face Mask Set,1,25,15.0,True
ORD000311,CUST00208,2025-01-29,Face Mask Set,2,0,40.0,False
ORD000312,CUST00208,2025-03-11,SPF 50 Sunscreen,3,20,57.6,False
ORD000313,CUST00209,2024-02-06,SPF 50 Sunscreen,1,25,18.0,True
ORD000314,CUST00210,2024-05-11,Eye Cream,1,20,20.8,True
ORD000315,CUST00210,2024-05-25,Vitamin C Serum,2,10,39.6,False
ORD000316,CUST00211,2024-11-26,Face Mask Set,1,0,20.0,True
ORD000317,CUST00212,2025-02-05,Niacinamide Serum,3,0,57.0,True
ORD000318,CUST00212,2025-03-13,Hydrating Moisturizer,1,0,28.0,False
ORD000319,CUST00213,2025-01-06,SPF 50 Sunscreen,2,0,48.0,True
ORD000320,CUST00215,2025-02-17,Gentle Cleanser,3,0,48.0,True
ORD000321,CUST00216,2024-06-20,Gentle Cleanser,2,0,32.0,True
ORD000322,CUST00216,2024-07-20,Vitamin C Serum,1,0,22.0,False
ORD000323,CUST00217,2024-08-10,Hydrating Moisturizer,2,0,56.0,True
ORD000324,CUST00217,2024-09-07,Hydrating Moisturizer,1,25,21.0,False
ORD000325,CUST00217,2024-09-21,Retinol Night Cream,1,0,32.0,False
ORD000326,CUST00217,2024-10-14,SPF 50 Sunscreen,1,0,24.0,False
ORD000327,CUST00219,2025-01-06,Hydrating Moisturizer,3,10,75.6,True
ORD000328,CUST00220,2025-05-09,Face Mask Set,2,20,32.0,True
ORD000329,CUST00221,2025-01-11,Niacinamide Serum,1,15,16.15,True
ORD000330,CUST00223,2024-04-01,Retinol Night Cream,2,0,64.0,True
ORD000331,CUST00223,2024-04-15,Niacinamide Serum,2,0,38.0,False
ORD000332,CUST00224,2024-09-10,Hydrating Moisturizer,1,15,23.8,True
ORD000333,CUST00226,2024-06-23,Niacinamide Serum,1,25,14.25,True
ORD000334,CUST00226,2024-09-10,Hydrating Moisturizer,3,0,84.0,False
ORD000335,CUST00227,2025-07-15,Gentle Cleanser,2,0,32.0,True
ORD000336,CUST00228,2024-09-25,Retinol Night Cream,1,20,25.6,True
ORD000337,CUST00229,2025-06-04,Gentle Cleanser,1,0,16.0,True
ORD000338,CUST00230,2024-12-26,Gentle Cleanser,1,25,12.0,True
ORD000339,CUST00231,2025-04-05,Niacinamide Serum,1,0,19.0,True
ORD000340,CUST00232,2024-11-13,SPF 50 Sunscreen,1,0,24.0,True
ORD000341,CUST00233,2024-12-07,Retinol Night Cream,2,0,64.0,True
ORD000342,CUST00234,2024-11-11,Retinol Night Cream,2,15,54.4,True
ORD000343,CUST00234,2024-11-25,Gentle Cleanser,1,10,14.4,False
ORD000344,CUST00235,2024-06-01,SPF 50 Sunscreen,1,0,24.0,True
ORD000345,CUST00235,2024-06-15,Eye Cream,3,0,78.0,False
ORD000346,CUST00235,2024-06-29,Face Mask Set,1,0,20.0,False
ORD000347,CUST00237,2024-07-15,SPF 50 Sunscreen,2,20,38.4,True
ORD000348,CUST00238,2024-02-18,Hydrating Moisturizer,1,10,25.2,True
ORD000349,CUST00239,2024-12-31,Retinol Night Cream,1,0,32.0,True
ORD000350,CUST00239,2025-01-19,SPF 50 Sunscreen,1,0,24.0,False
ORD000351,CUST00239,2025-02-17,Niacinamide Serum,1,0,19.0,False
ORD000352,CUST00239,2025-03-03,Gentle Cleanser,2,0,32.0,False
ORD000353,CUST00240,2024-05-20,Eye Cream,1,0,26.0,True
ORD000354,CUST00240,2024-06-14,SPF 50 Sunscreen,1,20,19.2,False
ORD000355,CUST00241,2025-06-26,Face Mask Set,1,15,17.0,True
ORD000356,CUST00242,2025-07-02,Face Mask Set,2,10,36.0,True
ORD000357,CUST00243,2025-06-16,Hydrating Moisturizer,1,0,28.0,True
