customer_id,signup_date,acquisition_channel,country,age_band,gender
CUST00067,2024-04-26,Organic/SEO,UK,35-44,Other
CUST00068,2025-04-10,Influencer,UAE,35-44,Female
CUST00069,2024-03-17,Influencer,Kuwait,18-24,Female
CUST00070,2025-07-23,Meta Ads,India,25-34,Female
CUST00071,2025-03-23,Organic/SEO,UAE,35-44,Female
CUST00072,2024-06-01,Google Ads,Kuwait,45-54,Female
CUST00073,2024-02-04,Google Ads,UAE,18-24,Female
CUST00074,2025-04-18,Influencer,UAE,35-44,Female
CUST00075,2025-02-11,Google Ads,UAE,18-24,Male
CUST00076,2025-02-24,Email/Referral,India,45-54,Female
CUST00077,2025-03-22,Meta Ads,UAE,25-34,Male
CUST00078,2024-03-17,Organic/SEO,USA,45-54,Female
CUST00079,2024-09-02,Meta Ads,UAE,35-44,Male
CUST00080,2024-04-11,Google Ads,India,18-24,Male
CUST00081,2025-05-17,Email/Referral,Qatar,35-44,Male
CUST00082,2024-12-23,Meta Ads,UK,25-34,Male
CUST00083,2024-08-13,Organic/SEO,USA,35-44,Female
CUST00084,2024-03-10,Organic/SEO,UAE,45-54,Male
CUST00085,2024-07-30,Meta Ads,USA,25-34,Female
CUST00086,2024-08-09,Organic/SEO,UAE,18-24,Female
CUST00087,2025-02-25,Meta Ads,USA,55+,Female
CUST00088,2024-12-28,Influencer,Saudi Arabia,55+,Female
CUST00089,2025-06-01,Email/Referral,UAE,55+,Female
CUST00090,2024-11-05,Email/Referral,UAE,18-24,Female
CUST00091,2024-04-13,Organic/SEO,Saudi Arabia,35-44,Female
CUST00092,2025-02-15,Google Ads,India,25-34,Female
CUST00093,2025-03-16,Meta Ads,Kuwait,25-34,Female
CUST00094,2024-11-29,Organic/SEO,UK,25-34,Female
CUST00095,2025-03-22,Influencer,Saudi Arabia,25-34,Male
CUST00096,2024-11-11,Organic/SEO,Saudi Arabia,25-34,Female
CUST00097,2024-11-19,Google Ads,UAE,18-24,Female
CUST00098,2024-10-14,Email/Referral,UK,45-54,Female
CUST00099,2024-02-16,Meta Ads,India,18-24,Female
CUST00100,2024-04-06,Google Ads,India,35-44,Female
CUST00101,2024-02-20,Google Ads,UAE,25-34,Male
CUST00102,2024-12-28,Organic/SEO,UAE,18-24,Female
CUST00103,2024-08-01,Influencer,Saudi Arabia,35-44,Female
CUST00104,2024-11-15,Influencer,UAE,18-24,Female
CUST00105,2025-06-10,Meta Ads,Saudi Arabia,45-54,Female
CUST00106,2024-06-24,Google Ads,India,18-24,Female
CUST00107,2024-10-03,Google Ads,UAE,35-44,Female
CUST00108,2025-03-13,Organic/SEO,USA,18-24,Female
CUST00109,2024-06-15,Meta Ads,Qatar,25-34,Female
CUST00110,2024-03-18,Meta Ads,USA,25-34,Male
CUST00111,2024-07-17,Influencer,Qatar,35-44,Male
CUST00112,2024-05-09,Email/Referral,India,35-44,Female
CUST00113,2025-06-21,Organic/SEO,India,45-54,Female
CUST00114,2025-04-14,Google Ads,UAE,25-34,Female
CUST00115,2024-12-26,Organic/SEO,India,35-44,Female
CUST00116,2025-05-22,Meta Ads,UAE,25-34,Female
CUST00117,2025-04-11,Google Ads,UAE,25-34,Female
CUST00118,2024-05-24,Organic/SEO,UAE,25-34,Female
CUST00119,2025-06-03,Google Ads,UAE,25-34,Male
CUST00120,2024-11-23,Influencer,UK,45-54,Female
CUST00121,2025-04-13,Google Ads,UAE,25-34,Female
CUST00122,2025-06-05,Email/Referral,Qatar,25-34,Female
CUST00123,2024-08-04,Google Ads,India,25-34,Female
CUST00124,2024-04-08,Google Ads,UAE,25-34,Female
CUST00125,2024-06-14,Google Ads,UAE,25-34,Female
CUST00126,2024-10-13,Influencer,UAE,25-34,Female
CUST00127,2025-04-20,Meta Ads,India,18-24,Female
CUST00128,2025-05-16,Meta Ads,Saudi Arabia,25-34,Female
CUST00129,2024-02-05,Organic/SEO,Saudi Arabia,35-44,Male
CUST00130,2024-11-15,Meta Ads,UAE,18-24,Female
CUST00131,2024-10-07,Email/Referral,Saudi Arabia,35-44,Male
CUST00132,2024-06-12,Influencer,UK,45-54,Female
CUST00133,2024-04-14,Meta Ads,UAE,18-24,Female
CUST00134,2024-08-18,Influencer,UAE,35-44,Female
CUST00135,2025-06-27,Meta Ads,India,35-44,Female
CUST00136,2024-08-07,Organic/SEO,Qatar,18-24,Female
CUST00137,2024-11-18,Meta Ads,UK,55+,Female
CUST00138,2025-02-09,Organic/SEO,UAE,35-44,Female
CUST00139,2024-09-05,Meta Ads,USA,45-54,Female
CUST00140,2025-07-13,Meta Ads,Qatar,35-44,Female
CUST00141,2025-07-08,Google Ads,Saudi Arabia,25-34,Female
CUST00142,2024-06-25,Organic/SEO,USA,18-24,Male
CUST00143,2024-11-12,Influencer,USA,35-44,Female
CUST00144,2024-07-24,Organic/SEO,Qatar,25-34,Male
CUST00145,2024-07-14,Google Ads,Saudi Arabia,25-34,Female
CUST00146,2024-02-23,Meta Ads,USA,45-54,Female
CUST00147,2024-12-17,Email/Referral,UAE,25-34,Female
CUST00148,2024-11-13,Google Ads,UAE,45-54,Female
CUST00149,2024-03-03,Meta Ads,USA,25-34,Male
CUST00150,2024-07-10,Organic/SEO,UAE,18-24,Male
CUST00151,2025-06-11,Meta Ads,UK,25-34,Female
CUST00152,2024-06-20,Influencer,India,25-34,Male
CUST00153,2024-04-29,Meta Ads,UAE,35-44,Female
CUST00154,2024-11-10,Influencer,Saudi Arabia,25-34,Female
CUST00155,2025-07-22,Organic/SEO,Saudi Arabia,35-44,Female
CUST00156,2024-06-21,Meta Ads,UAE,18-24,Female
CUST00157,2025-01-19,Google Ads,UK,18-24,Female
CUST00158,2025-03-16,Google Ads,UK,55+,Female
CUST00159,2024-06-19,Meta Ads,UAE,18-24,Female
CUST00160,2025-02-24,Meta Ads,UAE,25-34,Female
CUST00161,2024-09-07,Email/Referral,India,35-44,Female
CUST00162,2024-12-26,Email/Referral,Saudi Arabia,45-54,Female
CUST00163,2024-12-27,Google Ads,Saudi Arabia,18-24,Female
CUST00164,2024-11-22,Email/Referral,Saudi Arabia,35-44,Female
CUST00165,2024-03-27,Meta Ads,India,18-24,Female
CUST00166,2025-04-30,Influencer,Saudi Arabia,55+,Female
CUST00167,2024-08-06,Organic/SEO,India,35-44,Female
CUST00168,2024-05-24,Google Ads,Saudi Arabia,25-34,Male
CUST00169,2024-02-25,Email/Referral,Saudi Arabia,35-44,Female
CUST00170,2024-12-10,Organic/SEO,Kuwait,25-34,Female
CUST00171,2025-01-23,Influencer,UAE,18-24,Female
CUST00172,2024-02-11,Meta Ads,Saudi Arabia,35-44,Female
CUST00173,2024-11-16,Meta Ads,UK,35-44,Female
CUST00174,2024-06-14,Influencer,Kuwait,35-44,Female
CUST00175,2024-12-31,Influencer,Kuwait,25-34,Female
CUST00176,2024-05-17,Influencer,Kuwait,35-44,Female
CUST00177,2025-02-01,Meta Ads,Saudi Arabia,35-44,Female
CUST00178,2024-09-19,Meta Ads,UAE,35-44,Female
CUST00179,2025-06-24,Email/Referral,India,25-34,Female
CUST00180,2024-04-24,Meta Ads,Saudi Arabia,25-34,Female
CUST00181,2024-08-20,Meta Ads,Qatar,45-54,Female
CUST00182,2024-04-10,Email/Referral,Qatar,35-44,Female
CUST00183,2025-06-18,Meta Ads,UK,25-34,Female
CUST00184,2025-05-26,Email/Referral,UAE,35-44,Female
CUST00185,2024-06-28,Google Ads,UAE,25-34,Female
CUST00186,2025-01-10,Influencer,USA,25-34,Female
CUST00187,2025-04-19,Meta Ads,Kuwait,35-44,Female
CUST00188,2024-11-28,Google Ads,Saudi Arabia,25-34,Male
CUST00189,2024-11-21,Google Ads,India,55+,Female
CUST00190,2024-06-21,Google Ads,Saudi Arabia,18-24,Female
CUST00191,2024-03-28,Organic/SEO,India,35-44,Female
CUST00192,2025-06-05,Google Ads,Kuwait,25-34,Female
CUST00193,2025-06-07,Meta Ads,Qatar,35-44,Female
CUST00194,2024-12-26,Meta Ads,India,25-34,Female
CUST00195,2024-08-19,Email/Referral,Kuwait,25-34,Female
CUST00196,2024-08-26,Organic/SEO,Saudi Arabia,35-44,Female
CUST00197,2025-02-23,Meta Ads,USA,55+,Female
CUST00198,2025-06-05,Influencer,Saudi Arabia,45-54,Female
CUST00199,2025-06-01,Email/Referral,USA,25-34,Male
CUST00200,2025-03-27,Google Ads,Kuwait,25-34,Male
CUST00201,2024-12-30,Meta Ads,UAE,35-44,Other
CUST00202,2024-03-23,Google Ads,UAE,25-34,Female
CUST00203,2024-05-09,Influencer,India,25-34,Female
CUST00204,2025-06-06,Meta Ads,UK,25-34,Female
CUST00205,2024-12-16,Organic/SEO,UAE,35-44,Female
CUST00206,2024-02-06,Organic/SEO,Saudi Arabia,35-44,Male
CUST00207,2024-04-02,Email/Referral,Saudi Arabia,18-24,Female
CUST00208,2025-01-13,Influencer,USA,45-54,Female
CUST00209,2024-02-04,Google Ads,Saudi Arabia,35-44,Female
CUST00210,2024-05-08,Influencer,UAE,25-34,Male
CUST00211,2024-11-26,Meta Ads,UK,35-44,Male
CUST00212,2025-02-02,Email/Referral,USA,25-34,Female
CUST00213,2025-01-04,Organic/SEO,UK,45-54,Female
CUST00214,2024-06-13,Meta Ads,India,45-54,Other
CUST00215,2025-02-14,Organic/SEO,Saudi Arabia,18-24,Female
CUST00216,2024-06-19,Email/Referral,Saudi Arabia,35-44,Male
CUST00217,2024-08-09,Meta Ads,USA,25-34,Female
CUST00218,2025-03-07,Meta Ads,India,25-34,Male
CUST00219,2025-01-03,Meta Ads,UAE,45-54,Female
CUST00220,2025-05-09,Meta Ads,Kuwait,18-24,Female
CUST00221,2025-01-08,Meta Ads,UAE,18-24,Male
CUST00222,2024-12-02,Email/Referral,UK,18-24,Female
CUST00223,2024-03-29,Meta Ads,India,35-44,Female
CUST00224,2024-09-07,Meta Ads,USA,18-24,Female
CUST00225,2024-07-02,Google Ads,UAE,25-34,Female
CUST00226,2024-06-22,Email/Referral,UAE,55+,Female
CUST00227,2025-07-14,Meta Ads,India,35-44,Female
CUST00228,2024-09-23,Meta Ads,India,25-34,Male
CUST00229,2025-06-03,Meta Ads,USA,35-44,Female
CUST00230,2024-12-26,Influencer,India,35-44,Female
CUST00231,2025-04-05,Influencer,USA,35-44,Male
CUST00232,2024-11-13,Influencer,Saudi Arabia,25-34,Female
CUST00233,2024-12-05,Organic/SEO,UAE,25-34,Female
CUST00234,2024-11-10,Meta Ads,UAE,25-34,Male
CUST00235,2024-05-29,Google Ads,Kuwait,45-54,Female
CUST00236,2025-02-20,Organic/SEO,Saudi Arabia,35-44,Female
CUST00237,2024-07-12,Meta Ads,UAE,55+,Female
CUST00238,2024-02-15,Email/Referral,USA,35-44,Male
CUST00239,2024-12-31,Email/Referral,USA,25-34,Male
CUST00240,2024-05-18,Meta Ads,India,25-34,Female
CUST00241,2025-06-26,Influencer,India,35-44,Male
CUST00242,2025-07-02,Meta Ads,UAE,18-24,Male
CUST00243,2025-06-14,Influencer,Kuwait,25-34,Female
CUST00244,2024-09-09,Organic/SEO,Kuwait,25-34,Female
CUST00245,2024-02-10,Meta Ads,Kuwait,25-34,Female
CUST00246,2025-06-20,Meta Ads,Kuwait,18-24,Female
CUST00247,2024-10-14,Influencer,UK,45-54,Female
CUST00248,2025-07-10,Organic/SEO,UAE,25-34,Female
CUST00249,2025-07-08,Google Ads,Saudi Arabia,55+,Female
CUST00250,2025-05-11,Google Ads,Saudi Arabia,55+,Male
CUST00251,2024-07-20,Meta Ads,UK,25-34,Male
CUST00252,2024-09-18,Google Ads,Saudi Arabia,18-24,Female
CUST00253,2025-05-10,Organic/SEO,Saudi Arabia,35-44,Female
CUST00254,2024-08-03,Influencer,UAE,35-44,Female
CUST00255,2024-05-14,Meta Ads,India,18-24,Female
CUST00256,2024-11-28,Meta Ads,UAE,45-54,Female
CUST00257,2025-06-24,Meta Ads,Kuwait,18-24,Male
CUST00258,2025-02-04,Meta Ads,UAE,25-34,Female
CUST00259,2024-12-02,Influencer,UAE,18-24,Male
CUST00260,2024-03-31,Meta Ads,Saudi Arabia,18-24,Female
CUST00261,2024-12-19,Organic/SEO,India,35-44,Female
CUST00262,2025-07-24,Organic/SEO,India,18-24,Female
CUST00263,2024-04-26,Email/Referral,UAE,35-44,Male
CUST00264,2024-11-18,Google Ads,Saudi Arabia,55+,Female
CUST00265,2025-05-26,Google Ads,Saudi Arabia,35-44,Female
CUST00266,2025-03-04,Email/Referral,UAE,18-24,Female
CUST00267,2025-02-05,Meta Ads,UAE,35-44,Female
CUST00268,2025-02-08,Meta Ads,Qatar,25-34,Female
CUST00269,2024-09-02,Influencer,UAE,35-44,Male
CUST00270,2024-07-19,Influencer,UK,35-44,Female
CUST00271,2025-04-14,Google Ads,UAE,25-34,Female
CUST00272,2025-04-15,Google Ads,UAE,25-34,Female
CUST00273,2025-05-20,Google Ads,UAE,45-54,Female
CUST00274,2025-06-13,Organic/SEO,UAE,18-24,Female
CUST00275,2024-11-16,Organic/SEO,India,35-44,Female
CUST00276,2024-11-13,Meta Ads,UAE,25-34,Female
CUST00277,2025-04-08,Organic/SEO,USA,35-44,Male
CUST00278,2025-01-03,Influencer,Saudi Arabia,25-34,Female
CUST00279,2025-02-08,Influencer,UAE,18-24,Male
CUST00280,2025-04-06,Google Ads,UK,25-34,Male
CUST00281,2025-06-02,Organic/SEO,Qatar,35-44,Female
CUST00282,2024-08-18,Influencer,UAE,45-54,Male
CUST00283,2024-09-12,Meta Ads,UAE,35-44,Female
CUST00284,2024-03-29,Meta Ads,UAE,45-54,Female
CUST00285,2024-12-05,Google Ads,UAE,35-44,Female
CUST00286,2024-02-22,Organic/SEO,UAE,25-34,Female
CUST00287,2024-11-03,Google Ads,UK,35-44,Female
CUST00288,2024-11-24,Meta Ads,UAE,18-24,Female
CUST00289,2024-07-15,Influencer,UAE,35-44,Female
CUST00290,2024-12-10,Google Ads,UAE,35-44,Female
CUST00291,2024-02-19,Google Ads,UAE,35-44,Female
CUST00292,2024-02-23,Influencer,UAE,25-34,Female
CUST00293,2025-04-22,Meta Ads,Saudi Arabia,25-34,Female
CUST00294,2024-09-03,Meta Ads,Saudi Arabia,18-24,Female
CUST00295,2024-04-18,Meta Ads,Saudi Arabia,35-44,Female
CUST00296,2024-11-19,Organic/SEO,USA,18-24,Male
CUST00297,2025-03-21,Meta Ads,UAE,45-54,Male
CUST00298,2024-06-09,Influencer,India,35-44,Female
CUST00299,2024-12-22,Meta Ads,UAE,25-34,Male
CUST00300,2024-03-24,Influencer,USA,45-54,Female
CUST00301,2024-03-03,Organic/SEO,UAE,35-44,Female
CUST00302,2024-11-21,Google Ads,Saudi Arabia,25-34,Female
CUST00303,2024-11-24,Meta Ads,India,18-24,Female
CUST00304,2024-12-28,Email/Referral,Saudi Arabia,35-44,Male
CUST00305,2025-02-23,Organic/SEO,UAE,18-24,Female
CUST00306,2025-07-16,Influencer,UK,35-44,Female
CUST00307,2024-11-17,Organic/SEO,Saudi Arabia,35-44,Female
CUST00308,2024-08-07,Google Ads,Kuwait,25-34,Female
CUST00309,2025-04-06,Influencer,USA,35-44,Female
CUST00310,2024-07-06,Meta Ads,Saudi Arabia,25-34,Female
CUST00311,2024-10-21,Meta Ads,India,25-34,Female
CUST00312,2024-03-19,Meta Ads,USA,18-24,Male
CUST00313,2024-02-16,Email/Referral,India,25-34,Female
CUST00314,2025-07-08,Influencer,USA,45-54,Female
CUST00315,2025-05-01,Organic/SEO,UK,25-34,Female
CUST00316,2025-02-04,Meta Ads,UAE,18-24,Male
CUST00317,2024-10-02,Meta Ads,UK,25-34,Female
CUST00318,2024-05-16,Meta Ads,Saudi Arabia,25-34,Female
CUST00319,2024-05-06,Meta Ads,Saudi Arabia,25-34,Female
CUST00320,2024-06-25,Meta Ads,India,35-44,Female
CUST00321,2024-11-26,Meta Ads,UAE,35-44,Female
CUST00322,2025-02-16,Organic/SEO,UK,45-54,Male
CUST00323,2025-01-10,Meta Ads,India,18-24,Female
CUST00324,2024-07-11,Email/Referral,UK,25-34,Female
CUST00325,2025-07-03,Email/Referral,Saudi Arabia,25-34,Male
CUST00326,2025-03-02,Organic/SEO,UK,35-44,Female
CUST00327,2024-11-28,Influencer,India,35-44,Female
CUST00328,2024-12-18,Google Ads,Saudi Arabia,18-24,Female
CUST00329,2024-10-09,Email/Referral,Saudi Arabia,25-34,Female
CUST00330,2024-06-24,Meta Ads,USA,18-24,Female
CUST00331,2024-08-31,Organic/SEO,Kuwait,18-24,Female
CUST00332,2025-03-14,Organic/SEO,UAE,25-34,Female
CUST00333,2024-02-09,Organic/SEO,USA,35-44,Female
CUST00334,2024-04-11,Google Ads,Saudi Arabia,35-44,Female
CUST00335,2024-02-29,Google Ads,UAE,35-44,Female
CUST00336,2024-02-25,Google Ads,Saudi Arabia,35-44,Female
CUST00337,2025-05-12,Organic/SEO,Saudi Arabia,45-54,Other
CUST00338,2025-02-09,Google Ads,UAE,25-34,Female
CUST00339,2024-11-05,Email/Referral,USA,35-44,Female
CUST00340,2024-03-31,Meta Ads,India,45-54,Female
CUST00341,2024-11-10,Meta Ads,USA,45-54,Female
CUST00342,2024-11-05,Organic/SEO,UAE,45-54,Female
CUST00343,2024-05-16,Google Ads,Kuwait,25-34,Female
CUST00344,2024-10-17,Meta Ads,UAE,18-24,Female
CUST00345,2024-09-26,Meta Ads,Qatar,25-34,Female
CUST00346,2024-12-20,Email/Referral,USA,35-44,Male
CUST00347,2024-12-27,Meta Ads,UAE,35-44,Female
CUST00348,2024-02-28,Meta Ads,UK,25-34,Female
CUST00349,2024-09-11,Meta Ads,UAE,45-54,Female
CUST00350,2024-12-24,Organic/SEO,India,18-24,Female
CUST00351,2024-11-13,Meta Ads,UAE,25-34,Male
CUST00352,2025-05-13,Google Ads,UAE,45-54,Female
CUST00353,2025-01-09,Meta Ads,India,25-34,Female
CUST00354,2024-05-10,Google Ads,India,25-34,Female
CUST00355,2024-03-14,Influencer,UAE,55+,Female
CUST00356,2024-12-30,Google Ads,India,55+,Female
CUST00357,2024-02-17,Google Ads,Saudi Arabia,35-44,Other
CUST00358,2024-12-08,Meta Ads,UAE,35-44,Female
CUST00359,2025-06-26,Organic/SEO,India,35-44,Female
CUST00360,2024-12-04,Meta Ads,UAE,25-34,Male
CUST00361,2024-09-20,Meta Ads,USA,25-34,Female
CUST00362,2024-12-30,Influencer,USA,18-24,Female
CUST00363,2024-11-01,Google Ads,UAE,18-24,Female
CUST00364,2024-11-25,Meta Ads,Kuwait,25-34,Other
CUST00365,2025-06-26,Google Ads,UAE,35-44,Female
CUST00366,2024-09-18,Google Ads,USA,45-54,Female
CUST00367,2025-07-07,Meta Ads,Saudi Arabia,45-54,Female
CUST00368,2025-06-09,Email/Referral,Saudi Arabia,55+,Female
CUST00369,2024-05-30,Google Ads,Kuwait,25-34,Male
CUST00370,2024-03-14,Organic/SEO,UAE,35-44,Male
CUST00371,2024-04-02,Google Ads,Saudi Arabia,18-24,Female
CUST00372,2024-02-12,Meta Ads,India,25-34,Female
CUST00373,2024-03-29,Google Ads,UAE,45-54,Female
CUST00374,2025-01-27,Email/Referral,UAE,55+,Male
CUST00375,2024-03-15,Meta Ads,India,25-34,Male
CUST00376,2024-08-04,Influencer,Qatar,18-24,Female
CUST00377,2025-05-06,Organic/SEO,UAE,18-24,Female
CUST00378,2024-02-15,Google Ads,Saudi Arabia,25-34,Female
CUST00379,2025-04-17,Influencer,Kuwait,25-34,Female
CUST00380,2024-07-12,Influencer,India,25-34,Female
CUST00381,2024-04-12,Meta Ads,UAE,35-44,Female
CUST00382,2025-02-05,Google Ads,India,25-34,Female
CUST00383,2024-12-25,Google Ads,Qatar,25-34,Male
CUST00384,2025-05-26,Google Ads,UAE,45-54,Female
CUST00385,2025-02-28,Email/Referral,Saudi Arabia,18-24,Female
CUST00386,2025-04-11,Organic/SEO,Saudi Arabia,25-34,Female
CUST00387,2024-07-12,Google Ads,Kuwait,45-54,Female
CUST00388,2024-05-19,Email/Referral,India,35-44,Female
CUST00389,2025-03-10,Meta Ads,UAE,18-24,Male
CUST00390,2025-04-13,Meta Ads,India,25-34,Male
CUST00391,2025-07-25,Influencer,India,18-24,Female
CUST00392,2024-10-05,Email/Referral,UK,25-34,Female
CUST00393,2024-09-10,Organic/SEO,UAE,55+,Female
CUST00394,2025-03-25,Google Ads,UK,25-34,Male
CUST00395,2024-08-20,Organic/SEO,India,18-24,Male
CUST00396,2025-06-21,Google Ads,Kuwait,18-24,Female
CUST00397,2025-05-14,Meta Ads,UAE,25-34,Female
CUST00398,2024-10-15,Meta Ads,Kuwait,45-54,Male
CUST00399,2025-03-10,Meta Ads,India,25-34,Female
CUST00400,2025-03-12,Meta Ads,India,25-34,Female
CUST00401,2024-04-03,Email/Referral,UAE,35-44,Female
CUST00402,2025-06-08,Influencer,USA,25-34,Male
CUST00403,2024-11-14,Meta Ads,UAE,35-44,Female
CUST00404,2025-04-25,Influencer,UK,25-34,Female
CUST00405,2024-08-05,Google Ads,India,25-34,Male
CUST00406,2025-06-05,Google Ads,USA,35-44,Female
CUST00407,2024-09-20,Meta Ads,UAE,25-34,Female
CUST00408,2024-02-07,Meta Ads,India,25-34,Female
CUST00409,2025-06-09,Organic/SEO,USA,55+,Female
CUST00410,2024-03-27,Google Ads,India,25-34,Female
CUST00411,2024-08-05,Meta Ads,UAE,18-24,Female
CUST00412,2025-06-30,Google Ads,India,25-34,Male
CUST00413,2025-06-30,Meta Ads,Saudi Arabia,25-34,Female
CUST00414,2024-12-04,Organic/SEO,Saudi Arabia,25-34,Female
CUST00415,2024-12-26,Meta Ads,UAE,45-54,Female
CUST00416,2024-10-26,Email/Referral,UAE,25-34,Female
CUST00417,2024-07-19,Google Ads,Kuwait,35-44,Female
CUST00418,2024-08-11,Google Ads,USA,25-34,Male
CUST00419,2025-01-19,Organic/SEO,UK,25-34,Female
CUST00420,2025-03-11,Influencer,UAE,25-34,Female
CUST00421,2025-04-04,Google Ads,UK,25-34,Other
CUST00422,2025-04-02,Influencer,UAE,55+,Female
CUST00423,2024-03-27,Organic/SEO,Saudi Arabia,45-54,Female
CUST00424,2024-11-11,Meta Ads,India,25-34,Female
CUST00425,2024-03-07,Meta Ads,Saudi Arabia,25-34,Female
CUST00426,2024-11-26,Influencer,India,25-34,Female
CUST00427,2024-10-22,Meta Ads,Qatar,35-44,Female
CUST00428,2025-06-01,Meta Ads,USA,25-34,Female
CUST00429,2024-08-27,Meta Ads,USA,25-34,Female
CUST00430,2024-04-12,Email/Referral,India,35-44,Female
CUST00431,2024-04-28,Influencer,UAE,25-34,Male
CUST00432,2025-03-16,Organic/SEO,USA,25-34,Female
CUST00433,2024-12-21,Influencer,UAE,35-44,Female
CUST00434,2024-04-02,Organic/SEO,UAE,35-44,Female
CUST00435,2024-03-23,Email/Referral,UAE,18-24,Female
CUST00436,2025-02-07,Meta Ads,UK,25-34,Female
CUST00437,2024-03-16,Email/Referral,Kuwait,35-44,Female
CUST00438,2025-04-22,Meta Ads,UAE,25-34,Female
CUST00439,2025-02-11,Google Ads,Saudi Arabia,18-24,Male
CUST00440,2024-03-21,Meta Ads,Saudi Arabia,35-44,Female
CUST00441,2024-03-23,Influencer,UK,35-44,Female
CUST00442,2025-07-22,Meta Ads,India,25-34,Male
CUST00443,2024-09-11,Meta Ads,UAE,25-34,Female
CUST00444,2024-09-09,Meta Ads,Saudi Arabia,45-54,Male
CUST00445,2025-04-16,Meta Ads,UAE,35-44,Female
CUST00446,2025-06-29,Email/Referral,USA,55+,Male
CUST00447,2025-07-22,Meta Ads,UAE,35-44,Female
