date,channel,spend,impressions,clicks
2024-03-07,Influencer,102.63,12976,384
2024-03-07,Organic/SEO,8.42,770,19
2024-03-07,Email/Referral,16.12,1598,20
2024-03-08,Meta Ads,203.41,19930,282
2024-03-08,Google Ads,118.3,11699,290
2024-03-08,Influencer,82.35,6690,83
2024-03-08,Organic/SEO,9.36,1119,13
2024-03-08,Email/Referral,13.41,1169,17
2024-03-09,Meta Ads,144.6,12151,325
2024-03-09,Google Ads,146.71,19052,237
2024-03-09,Influencer,70.82,6967,203
2024-03-09,Organic/SEO,9.59,1002,17
2024-03-09,Email/Referral,6.2,845,20
2024-03-10,Meta Ads,211.09,25225,576
2024-03-10,Google Ads,113.07,13406,186
2024-03-10,Influencer,85.38,10053,297
2024-03-10,Organic/SEO,15.28,1838,25
2024-03-10,Email/Referral,10.19,841,23
2024-03-11,Meta Ads,228.88,21937,267
2024-03-11,Google Ads,147.8,19421,462
2024-03-11,Influencer,65.53,9073,278
2024-03-11,Organic/SEO,6.97,943,20
2024-03-11,Email/Referral,10.58,1139,35
2024-03-12,Meta Ads,197.22,16478,559
2024-03-12,Google Ads,118.3,14756,382
2024-03-12,Influencer,73.13,6599,209
2024-03-12,Organic/SEO,11.3,1347,30
2024-03-12,Email/Referral,15.91,1730,29
2024-03-13,Meta Ads,165.25,21737,471
2024-03-13,Google Ads,124.21,16902,505
2024-03-13,Influencer,66.01,9237,252
2024-03-13,Organic/SEO,7.4,697,19
2024-03-13,Email/Referral,16.7,1575,25
2024-03-14,Meta Ads,159.17,18444,263
2024-03-14,Google Ads,114.38,13809,407
2024-03-14,Influencer,90.05,9169,190
2024-03-14,Organic/SEO,10.83,1490,43
2024-03-14,Email/Referral,8.12,836,19
2024-03-15,Meta Ads,192.2,20775,628
2024-03-15,Google Ads,174.08,19202,602
2024-03-15,Influencer,103.56,13122,444
2024-03-15,Organic/SEO,9.0,864,27
2024-03-15,Email/Referral,16.58,2248,26
2024-03-16,Meta Ads,193.8,17185,388
2024-03-16,Google Ads,119.02,10436,107
2024-03-16,Influencer,97.03,9852,124
2024-03-16,Organic/SEO,9.84,886,29
2024-03-16,Email/Referral,9.8,980,30
2024-03-17,Meta Ads,195.96,24026,622
2024-03-17,Google Ads,190.16,17574,610
2024-03-17,Influencer,107.87,12441,330
2024-03-17,Organic/SEO,14.73,1230,19
2024-03-17,Email/Referral,19.42,2176,42
2024-03-18,Meta Ads,208.3,23219,239
2024-03-18,Google Ads,171.26,21224,299
2024-03-18,Influencer,114.66,10713,229
2024-03-18,Organic/SEO,6.72,780,15
2024-03-18,Email/Referral,10.3,1335,13
2024-03-19,Meta Ads,212.18,24249,840
2024-03-19,Google Ads,158.05,13169,148
2024-03-19,Influencer,110.69,14442,269
2024-03-19,Organic/SEO,14.27,1560,53
2024-03-19,Email/Referral,19.25,2676,84
2024-03-20,Meta Ads,224.23,20861,642
2024-03-20,Google Ads,168.8,23255,564
2024-03-20,Influencer,67.6,7831,212
2024-03-20,Organic/SEO,8.3,860,21
2024-03-20,Email/Referral,10.61,1087,14
2024-03-21,Meta Ads,227.6,28456,285
2024-03-21,Google Ads,173.91,21632,221
2024-03-21,Influencer,82.96,9656,205
2024-03-21,Organic/SEO,16.67,1759,24
2024-03-21,Email/Referral,19.65,1857,51
2024-03-22,Meta Ads,141.46,14109,297
2024-03-22,Google Ads,122.3,13085,182
2024-03-22,Influencer,93.19,11166,129
2024-03-22,Organic/SEO,18.07,1646,25
2024-03-22,Email/Referral,14.92,1613,36
2024-03-23,Meta Ads,139.84,17947,456
2024-03-23,Google Ads,117.18,12003,363
2024-03-23,Influencer,93.69,8105,156
2024-03-23,Organic/SEO,8.64,959,29
2024-03-23,Email/Referral,11.54,1223,39
2024-03-24,Meta Ads,188.23,21452,354
2024-03-24,Google Ads,159.7,18294,364
2024-03-24,Influencer,116.5,15484,445
2024-03-24,Organic/SEO,13.06,1406,20
2024-03-24,Email/Referral,9.59,1212,25
2024-03-25,Meta Ads,221.29,19667,446
2024-03-25,Google Ads,163.23,18120,584
2024-03-25,Influencer,116.44,10124,134
2024-03-25,Organic/SEO,6.95,840,16
2024-03-25,Email/Referral,16.0,1669,42
2024-03-26,Meta Ads,209.14,23610,554
2024-03-26,Google Ads,112.94,11818,279
2024-03-26,Influencer,87.95,11789,385
2024-03-26,Organic/SEO,17.33,1776,49
2024-03-26,Email/Referral,10.93,1026,19
2024-03-27,Meta Ads,133.66,13353,287
2024-03-27,Google Ads,190.99,18870,614
2024-03-27,Influencer,75.36,6892,158
2024-03-27,Organic/SEO,15.09,1247,19
2024-03-27,Email/Referral,11.84,1182,32
2024-03-28,Meta Ads,181.21,16240,525
2024-03-28,Google Ads,131.36,16271,479
2024-03-28,Influencer,115.01,12640,321
2024-03-28,Organic/SEO,10.02,1209,26
2024-03-28,Email/Referral,11.56,1518,17
2024-03-29,Meta Ads,221.25,29011,657
2024-03-29,Google Ads,149.12,15166,528
2024-03-29,Influencer,69.0,7963,215
2024-03-29,Organic/SEO,19.01,2410,62
2024-03-29,Email/Referral,6.75,691,9
2024-03-30,Meta Ads,221.17,27641,799
2024-03-30,Google Ads,163.7,18076,248
2024-03-30,Influencer,80.8,7127,200
2024-03-30,Organic/SEO,7.4,903,24
2024-03-30,Email/Referral,11.89,1047,18
2024-03-31,Meta Ads,160.57,19593,251
2024-03-31,Google Ads,179.62,22571,330
2024-03-31,Influencer,101.83,12230,351
2024-03-31,Organic/SEO,7.83,700,11
2024-03-31,Email/Referral,10.49,1338,38
2024-04-01,Meta Ads,225.95,18870,194
2024-04-01,Google Ads,167.92,16247,298
2024-04-01,Influencer,92.53,7970,207
2024-04-01,Organic/SEO,9.88,1165,35
2024-04-01,Email/Referral,7.57,1028,23
2024-04-02,Meta Ads,225.68,20867,524
2024-04-02,Google Ads,141.35,17874,449
2024-04-02,Influencer,89.7,12089,234
2024-04-02,Organic/SEO,8.3,966,24
2024-04-02,Email/Referral,11.59,1265,42
2024-04-03,Meta Ads,205.13,17771,271
2024-04-03,Google Ads,192.8,23827,783
2024-04-03,Influencer,79.41,9887,275
2024-04-03,Organic/SEO,9.42,1064,27
2024-04-03,Email/Referral,12.22,1584,48
2024-04-04,Meta Ads,217.86,27930,620
2024-04-04,Google Ads,139.33,18096,402
2024-04-04,Influencer,76.3,8426,114
2024-04-04,Organic/SEO,15.37,1539,25
2024-04-04,Email/Referral,19.35,2449,72
2024-04-05,Meta Ads,193.36,25204,730
2024-04-05,Google Ads,158.89,21873,323
2024-04-05,Influencer,113.94,11859,275
2024-04-05,Organic/SEO,6.84,768,19
2024-04-05,Email/Referral,19.97,2766,94
2024-04-06,Meta Ads,163.63,22822,488
2024-04-06,Google Ads,181.67,16891,382
2024-04-06,Influencer,115.16,15756,426
2024-04-06,Organic/SEO,16.97,1537,43
2024-04-06,Email/Referral,14.27,1219,15
2024-04-07,Meta Ads,137.71,17001,230
2024-04-07,Google Ads,147.1,14918,354
2024-04-07,Influencer,101.15,12247,280
2024-04-07,Organic/SEO,11.97,1243,39
2024-04-07,Email/Referral,9.96,951,27
2024-04-08,Meta Ads,164.85,21565,392
2024-04-08,Google Ads,168.18,13909,273
2024-04-08,Influencer,81.53,10517,359
2024-04-08,Organic/SEO,11.91,1542,42
2024-04-08,Email/Referral,19.51,2510,29
2024-04-09,Meta Ads,203.03,22765,237
2024-04-09,Google Ads,127.62,17267,572
2024-04-09,Influencer,106.14,14743,444
2024-04-09,Organic/SEO,5.15,500,5
2024-04-09,Email/Referral,6.41,596,13
2024-04-10,Meta Ads,217.53,28652,727
2024-04-10,Google Ads,188.54,20740,668
2024-04-10,Influencer,87.52,8457,278
2024-04-10,Organic/SEO,10.82,1192,21
2024-04-10,Email/Referral,14.94,2087,22
2024-04-11,Meta Ads,223.18,17906,342
2024-04-11,Google Ads,120.17,15074,169
2024-04-11,Influencer,92.89,9074,121
2024-04-11,Organic/SEO,16.58,1542,24
2024-04-11,Email/Referral,9.13,1051,27
2024-04-12,Meta Ads,127.9,12088,251
2024-04-12,Google Ads,134.88,17945,532
2024-04-12,Influencer,96.8,9707,267
2024-04-12,Organic/SEO,17.65,2041,60
2024-04-12,Email/Referral,16.24,1856,33
2024-04-13,Meta Ads,206.54,19085,562
2024-04-13,Google Ads,177.41,22944,500
2024-04-13,Influencer,73.39,6310,180
2024-04-13,Organic/SEO,18.29,2177,29
2024-04-13,Email/Referral,19.02,2650,55
2024-04-14,Meta Ads,190.24,24090,684
2024-04-14,Google Ads,192.1,16692,409
2024-04-14,Influencer,100.36,13388,426
2024-04-14,Organic/SEO,19.67,2177,66
2024-04-14,Email/Referral,11.41,1201,19
2024-04-15,Meta Ads,214.37,29829,489
2024-04-15,Google Ads,110.05,14189,361
2024-04-15,Influencer,114.82,10923,128
2024-04-15,Organic/SEO,12.39,1054,17
2024-04-15,Email/Referral,6.89,643,8
2024-04-16,Meta Ads,229.02,22149,467
2024-04-16,Google Ads,185.88,22424,570
2024-04-16,Influencer,101.1,13115,418
2024-04-16,Organic/SEO,14.64,1952,45
2024-04-16,Email/Referral,9.16,1216,28
2024-04-17,Meta Ads,223.86,18448,367
2024-04-17,Google Ads,190.3,18074,606
2024-04-17,Influencer,114.51,15221,366
2024-04-17,Organic/SEO,14.7,1943,57
2024-04-17,Email/Referral,14.45,2007,54
2024-04-18,Meta Ads,231.35,19304,260
2024-04-18,Google Ads,145.63,15013,443
2024-04-18,Influencer,71.67,9931,177
2024-04-18,Organic/SEO,11.43,1102,26
2024-04-18,Email/Referral,5.88,523,14
2024-04-19,Meta Ads,146.14,13756,410
2024-04-19,Google Ads,113.4,12048,127
2024-04-19,Influencer,81.73,9966,122
2024-04-19,Organic/SEO,18.33,2466,31
2024-04-19,Email/Referral,19.86,1943,23
2024-04-20,Meta Ads,126.55,13225,340
2024-04-20,Google Ads,134.9,17564,490
2024-04-20,Influencer,81.91,10161,340
2024-04-20,Organic/SEO,6.4,629,13
2024-04-20,Email/Referral,12.47,1403,24
2024-04-21,Meta Ads,198.06,23510,574
2024-04-21,Google Ads,115.24,12517,236
2024-04-21,Influencer,89.52,12113,266
2024-04-21,Organic/SEO,5.21,553,16
2024-04-21,Email/Referral,16.7,1850,30
2024-04-22,Meta Ads,176.23,20058,701
2024-04-22,Google Ads,162.98,19827,441
2024-04-22,Influencer,82.14,10577,236
2024-04-22,Organic/SEO,19.92,2139,25
2024-04-22,Email/Referral,15.24,1261,20
2024-04-23,Meta Ads,164.2,20421,456
2024-04-23,Google Ads,107.58,12588,255
2024-04-23,Influencer,112.78,12402,343
2024-04-23,Organic/SEO,8.28,1040,29
2024-04-23,Email/Referral,18.56,1522,32
2024-04-24,Meta Ads,199.35,17086,346
2024-04-24,Google Ads,189.79,20147,697
2024-04-24,Influencer,66.07,8131,199
2024-04-24,Organic/SEO,12.51,1729,22
2024-04-24,Email/Referral,18.44,2239,36
2024-04-25,Meta Ads,223.38,23624,717
2024-04-25,Google Ads,140.0,18347,475
2024-04-25,Influencer,70.62,8402,124
2024-04-25,Organic/SEO,11.18,1008,10
2024-04-25,Email/Referral,8.18,917,20
2024-04-26,Meta Ads,180.16,17090,463
2024-04-26,Google Ads,168.38,17086,547
2024-04-26,Influencer,97.78,12005,203
2024-04-26,Organic/SEO,5.01,660,20
2024-04-26,Email/Referral,6.85,701,18
2024-04-27,Meta Ads,196.43,25854,349
2024-04-27,Google Ads,143.69,12333,243
2024-04-27,Influencer,63.82,8545,198
2024-04-27,Organic/SEO,17.75,1483,23
2024-04-27,Email/Referral,8.89,917,27
2024-04-28,Meta Ads,167.75,15479,179
2024-04-28,Google Ads,112.15,14086,297
2024-04-28,Influencer,102.21,12360,165
2024-04-28,Organic/SEO,7.14,894,25
2024-04-28,Email/Referral,10.67,903,9
2024-04-29,Meta Ads,157.12,12656,199
2024-04-29,Google Ads,142.76,12460,157
2024-04-29,Influencer,111.41,12826,427
2024-04-29,Organic/SEO,10.19,1229,18
2024-04-29,Email/Referral,14.28,1253,12
2024-04-30,Meta Ads,226.61,25673,851
2024-04-30,Google Ads,135.04,13459,269
2024-04-30,Influencer,101.13,11523,381
2024-04-30,Organic/SEO,5.38,659,12
2024-04-30,Email/Referral,7.7,851,19
2024-05-01,Meta Ads,140.8,12969,262
2024-05-01,Google Ads,141.79,14044,192
2024-05-01,Influencer,63.24,8740,293
2024-05-01,Organic/SEO,12.25,1711,45
2024-05-01,Email/Referral,6.03,524,17
2024-05-02,Meta Ads,194.05,25341,822
2024-05-02,Google Ads,145.31,12047,177
2024-05-02,Influencer,66.59,6081,123
2024-05-02,Organic/SEO,6.77,609,12
2024-05-02,Email/Referral,10.1,1091,22
2024-05-03,Meta Ads,195.6,26646,338
2024-05-03,Google Ads,113.93,14944,338
2024-05-03,Influencer,104.39,9700,297
2024-05-03,Organic/SEO,18.86,2227,28
2024-05-03,Email/Referral,18.43,2350,67
2024-05-04,Meta Ads,129.97,16628,223
2024-05-04,Google Ads,125.01,14329,238
2024-05-04,Influencer,98.71,11498,146
2024-05-04,Organic/SEO,14.84,2009,28
2024-05-04,Email/Referral,13.96,1403,30
2024-05-05,Meta Ads,157.0,15895,170
2024-05-05,Google Ads,193.34,22715,511
2024-05-05,Influencer,83.72,9406,183
2024-05-05,Organic/SEO,10.4,1121,18
2024-05-05,Email/Referral,7.7,873,27
2024-05-06,Meta Ads,142.51,11680,188
2024-05-06,Google Ads,193.17,25059,623
2024-05-06,Influencer,113.18,12078,417
2024-05-06,Organic/SEO,9.44,891,23
2024-05-06,Email/Referral,10.67,1254,22
2024-05-07,Meta Ads,192.74,18608,209
2024-05-07,Google Ads,187.09,24881,852
2024-05-07,Influencer,101.69,12300,294
2024-05-07,Organic/SEO,6.89,629,10
2024-05-07,Email/Referral,18.35,1658,54
2024-05-08,Meta Ads,182.46,22430,286
2024-05-08,Google Ads,129.21,17767,295
2024-05-08,Influencer,79.01,7257,95
2024-05-08,Organic/SEO,8.5,1007,21
2024-05-08,Email/Referral,13.31,1162,34
2024-05-09,Meta Ads,210.68,17127,335
2024-05-09,Google Ads,111.19,14179,403
2024-05-09,Influencer,111.71,10521,225
2024-05-09,Organic/SEO,7.77,794,18
2024-05-09,Email/Referral,5.8,712,16
2024-05-10,Meta Ads,215.53,20757,676
2024-05-10,Google Ads,194.88,26339,775
2024-05-10,Influencer,106.87,12228,180
2024-05-10,Organic/SEO,15.16,1861,64
2024-05-10,Email/Referral,13.12,1263,34
2024-05-11,Meta Ads,231.77,21005,381
2024-05-11,Google Ads,153.77,13872,146
2024-05-11,Influencer,81.2,10712,118
2024-05-11,Organic/SEO,11.43,1437,48
2024-05-11,Email/Referral,19.78,2083,70
2024-05-12,Meta Ads,129.83,16196,422
2024-05-12,Google Ads,127.46,14076,186
2024-05-12,Influencer,110.07,11169,286
2024-05-12,Organic/SEO,7.38,681,23
2024-05-12,Email/Referral,16.3,2244,39
2024-05-13,Meta Ads,143.77,15841,354
2024-05-13,Google Ads,120.75,14972,285
2024-05-13,Influencer,73.06,7300,175
2024-05-13,Organic/SEO,15.9,1731,40
2024-05-13,Email/Referral,7.08,954,31
2024-05-14,Meta Ads,199.81,16196,379
2024-05-14,Google Ads,161.63,22576,787
2024-05-14,Influencer,109.31,9163,310
2024-05-14,Organic/SEO,14.19,1817,36
2024-05-14,Email/Referral,9.8,1056,14
2024-05-15,Meta Ads,164.56,21632,236
2024-05-15,Google Ads,118.58,10376,208
2024-05-15,Influencer,116.84,10562,144
2024-05-15,Organic/SEO,18.73,2489,26
2024-05-15,Email/Referral,16.28,1942,56
2024-05-16,Meta Ads,179.41,25024,277
2024-05-16,Google Ads,126.09,13087,278
2024-05-16,Influencer,112.75,12808,142
2024-05-16,Organic/SEO,11.12,1167,39
2024-05-16,Email/Referral,13.99,1652,45
2024-05-17,Meta Ads,209.16,24702,393
2024-05-17,Google Ads,183.66,22760,649
2024-05-17,Influencer,116.81,14969,459
2024-05-17,Organic/SEO,19.27,1716,38
2024-05-17,Email/Referral,13.71,1367,42
2024-05-18,Meta Ads,208.34,25678,896
2024-05-18,Google Ads,128.34,15930,378
2024-05-18,Influencer,79.9,7161,231
2024-05-18,Organic/SEO,13.93,1803,42
2024-05-18,Email/Referral,8.3,832,16
2024-05-19,Meta Ads,231.08,18564,643
2024-05-19,Google Ads,193.24,27008,591
2024-05-19,Influencer,115.05,11934,127
2024-05-19,Organic/SEO,8.37,1144,11
2024-05-19,Email/Referral,13.19,1115,19
2024-05-20,Meta Ads,135.51,17829,441
2024-05-20,Google Ads,186.19,22585,774
2024-05-20,Influencer,90.53,10711,261
2024-05-20,Organic/SEO,12.26,1603,41
2024-05-20,Email/Referral,17.02,2164,31
2024-05-21,Meta Ads,196.22,18048,443
2024-05-21,Google Ads,165.97,23208,249
2024-05-21,Influencer,67.93,5748,114
2024-05-21,Organic/SEO,17.32,2262,64
2024-05-21,Email/Referral,18.45,1833,22
2024-05-22,Meta Ads,132.28,17345,490
2024-05-22,Google Ads,167.88,16851,328
2024-05-22,Influencer,114.74,9618,282
2024-05-22,Organic/SEO,9.64,793,22
2024-05-22,Email/Referral,9.96,1228,34
2024-05-23,Meta Ads,183.76,23271,570
2024-05-23,Google Ads,130.8,16225,401
2024-05-23,Influencer,63.69,8540,201
2024-05-23,Organic/SEO,18.03,2397,50
2024-05-23,Email/Referral,12.61,1323,28
2024-05-24,Meta Ads,222.68,28344,373
2024-05-24,Google Ads,159.93,22350,556
2024-05-24,Influencer,105.44,13300,249
2024-05-24,Organic/SEO,10.58,1306,29
2024-05-24,Email/Referral,13.56,1664,48
2024-05-25,Meta Ads,155.32,13793,238
2024-05-25,Google Ads,150.68,15147,366
2024-05-25,Influencer,65.89,7286,139
2024-05-25,Organic/SEO,13.02,1371,23
2024-05-25,Email/Referral,18.56,1690,45
2024-05-26,Meta Ads,225.86,25368,809
2024-05-26,Google Ads,116.24,12743,273
2024-05-26,Influencer,63.44,6762,130
2024-05-26,Organic/SEO,15.05,2051,24
2024-05-26,Email/Referral,9.91,1056,22
2024-05-27,Meta Ads,209.68,22352,238
2024-05-27,Google Ads,168.91,22480,513
2024-05-27,Influencer,94.38,8473,131
2024-05-27,Organic/SEO,8.53,902,29
2024-05-27,Email/Referral,12.83,1174,19
2024-05-28,Meta Ads,167.47,19660,412
2024-05-28,Google Ads,140.32,15980,256
2024-05-28,Influencer,67.26,5479,89
2024-05-28,Organic/SEO,6.37,638,18
2024-05-28,Email/Referral,15.74,1836,57
2024-05-29,Meta Ads,156.46,20825,416
2024-05-29,Google Ads,141.08,14717,183
2024-05-29,Influencer,115.68,10215,189
2024-05-29,Organic/SEO,9.79,827,11
2024-05-29,Email/Referral,5.67,553,17
2024-05-30,Meta Ads,162.66,14219,371
2024-05-30,Google Ads,194.69,18289,310
2024-05-30,Influencer,115.48,10477,238
2024-05-30,Organic/SEO,8.59,1167,40
2024-05-30,Email/Referral,17.22,1702,34
2024-05-31,Meta Ads,152.17,20306,667
2024-05-31,Google Ads,142.7,17037,240
2024-05-31,Influencer,86.49,10196,200
2024-05-31,Organic/SEO,10.36,829,24
2024-05-31,Email/Referral,18.34,2533,70
2024-06-01,Meta Ads,240.85,23159,810
2024-06-01,Google Ads,205.5,24838,672
2024-06-01,Influencer,141.24,11381,176
2024-06-01,Organic/SEO,19.48,2604,70
2024-06-01,Email/Referral,14.56,1480,42
2024-06-02,Meta Ads,267.87,31186,539
2024-06-02,Google Ads,244.74,27683,823
2024-06-02,Influencer,96.94,9756,310
2024-06-02,Organic/SEO,7.48,828,18
2024-06-02,Email/Referral,21.15,2049,31
2024-06-03,Meta Ads,293.83,33585,423
2024-06-03,Google Ads,159.09,22261,331
2024-06-03,Influencer,124.76,13125,421
2024-06-03,Organic/SEO,21.23,2458,25
2024-06-03,Email/Referral,23.66,2524,84
2024-06-04,Meta Ads,233.37,28390,333
